CD	ID	FD	WD	ED
7	6	2	0	5
8	3	1	0	7
8	1	1	0	7
9	7	2	0	7
9	4	1	0	8
9	2	1	0	8
11	8	3	0	8
13	10	4	4	5
14	11	4	0	10
14	9	4	0	10
15	12	5	0	10
17	16	7	2	8
18	20	9	0	9
21	15	6	8	7
22	25	11	0	11
23	24	10	4	9
24	22	9	0	15
27	-17	14	4	9
27	23	10	3	14
28	27	20	2	6
28	-13	20	3	8
31	19	8	13	10
31	18	8	7	16
32	29	22	2	8
33	28	21	2	10
34	30	23	4	7
37	31	24	2	11
38	36	30	1	7
38	26	11	10	17
40	38	35	0	5
41	37	32	0	9
41	34	28	0	13
45	39	37	0	8
45	35	29	4	12
48	45	41	0	7
48	32	26	5	17
49	46	41	0	8
49	33	27	11	11
51	43	41	0	10
52	40	39	0	13
53	41	41	7	5
55	49	41	6	8
56	50	41	8	7
57	48	41	7	9
57	44	41	8	8
57	47	41	6	10
59	59	50	1	8
59	60	53	0	6
62	62	56	1	5
62	61	55	0	7
64	-42	54	4	10
66	56	44	14	8
71	57	45	18	8
73	63	60	6	7
74	65	70	0	4
77	58	47	17	13
81	64	65	6	10
86	66	80	0	6
93	68	85	0	8
97	70	90	0	7
98	69	87	0	11
105	71	100	0	5
109	72	100	0	9
113	73	101	0	12
114	-67	104	2	10
115	76	104	0	11
116	74	102	0	14
116	75	103	0	13
117	78	108	0	9
119	79	109	0	10
120	82	112	0	8
121	83	113	0	8
121	77	107	0	14
123	84	114	0	9
123	85	115	0	8
125	86	116	0	9
127	80	110	0	17
128	92	121	2	5
129	91	121	0	8
129	93	121	1	7
132	81	111	14	7
132	88	118	8	6
132	90	121	0	11
133	95	121	2	10
134	97	123	5	6
137	98	125	4	8
138	89	121	11	6
140	-94	130	0	10
141	104	133	0	8
145	96	121	13	11
147	105	141	0	6
148	-87	130	8	10
150	106	142	0	8
151	107	143	0	8
152	108	144	0	8
155	109	145	0	10
155	101	130	15	10
155	110	146	0	9
160	102	131	22	7
166	103	132	23	11
167	115	155	0	12
169	-99	146	12	11
169	111	151	9	9
170	113	153	0	17
173	116	156	0	17
174	114	154	0	20
176	-100	151	15	10
177	119	159	2	16
182	-117	170	1	12
185	120	160	9	16
186	118	158	11	17
187	-112	166	7	14
Missons: 112 [ M: 31, P: 27, E: 54]
Rovers: 10[ M:3, P: 3 , E: 4]
Avg Wait = 3.53571, Avg Exec = 9.57143
Auto-promoted: 0%
Failed Missions: 10
